OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
11949,58518,SB 216 ST AT 52 AVE,South of Fraser,Langley - Township,0,0,0,17,13,10,-122.624718,49.0974,503; 560,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13650522.869857054,6291405.319093383
11950,58519,EB FRASER HWY AT 222 ST,South of Fraser,Langley - Township,14,18,15,117,100,51,-122.609049,49.091684,503,Fall 2018,,503,-13648778.569682347,6290433.555563888
11951,58520,WB FRASER HWY AT 221 ST,South of Fraser,Langley - Township,23,25,17,0,0,0,-122.612522,49.092898,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13649165.25327288,6290639.970881783
11952,58590,EB FRASER HWY AT 196 ST,South of Fraser,Langley - City,58,29,27,6,11,0,-122.67881,49.113333,320; 501; 502; 503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13656544.326718835,6294114.510040737
11953,58591,WB FRASER HWY AT 196A ST,South of Fraser,Langley - Township,0,0,0,50,66,51,-122.67839,49.11338,501; 502; 503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13656497.586337036,6294122.433104707
11954,58628,WB FRASER HWY AT 152 ST,South of Fraser,Surrey,0,0,0,34,27,17,-122.802808,49.166722,345; 395; 502; 503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13670347.772230212,6303199.141522954
11955,58921,EB 56 AVE AT LANGLEY BYPASS,South of Fraser,Langley - City,0,0,0,18,0,8,-122.644104,49.10456,503; 564,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13652680.963474462,6292622.648582609
11956,59085,EB FRASER HWY AT 64 AVE,South of Fraser,Surrey,11,12,9,0,0,0,-122.690508,49.118438,502; 503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13657846.528502239,6294982.780465146
11957,59086,WB FRASER HWY AT 64 AVE,South of Fraser,Surrey,0,0,0,13,11,0,-122.692199,49.119471,502; 503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13658034.791517502,6295158.524487482
11958,59339,KING GEORGE STN BAY 4,South of Fraser,Surrey,0,0,0,258,260,171,-122.845166,49.182677,096; 314; 321; 326; 329; 395; 502; 503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13675062.992904568,6305915.771924059
11959,59849,EB FRASER HWY AT 216 ST,South of Fraser,Langley - Township,6,5,0,45,17,26,-122.623945,49.09569,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13650436.831489693,6291114.617045954
11960,59983,WB FRASER HWY AT 222 ST,South of Fraser,Langley - Township,58,54,29,14,10,17,-122.608976,49.091951,503,Fall 2018,,503,-13648770.48342706,6290479.006540392
11961,59984,EB FRASER HWY AT 48 AVE,South of Fraser,Langley - Township,9,0,5,24,16,16,-122.603095,49.08981,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13648115.840074537,6290115.024939553
11962,60707,WB FRASER HWY AT 260 ST,South of Fraser,Langley - Township,6,0,5,0,0,0,-122.504474,49.061753,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13637137.31687993,6285347.042171341
11963,60708,EB FRASER HWY AT 260 ST,South of Fraser,Langley - Township,0,0,0,8,0,0,-122.502649,49.061253,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13636934.262231207,6285262.071331919
11964,60743,WB FRASER HWY AT 48 AVE,South of Fraser,Langley - Township,23,29,13,14,9,0,-122.602524,49.089916,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13648052.236173198,6290133.001857145
