OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
58,50131,SB MACKENZIE ST AT W 39 AVE,Vancouver/UBC,Vancouver,0,0,0,39,21,12,-123.170382,49.236401,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711265.928790191,6315070.234209705
59,50293,WB W 41 AVE AT MACKENZIE ST,Vancouver/UBC,Vancouver,12,9,19,101,118,49,-123.170795,49.234819,002; 041; N22,Fall 2018,,002,-13711311.896483237,6314800.507988516
60,50294,WB W 41 AVE AT CARNARVON ST,Vancouver/UBC,Vancouver,11,6,0,72,22,10,-123.173797,49.23482,002; 041; 043; 480; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711646.074066117,6314800.709227334
61,50295,WB W 41 AVE AT BALACLAVA ST,Vancouver/UBC,Vancouver,0,0,0,21,13,0,-123.17724,49.234827,002; 041; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13712029.312354464,6314801.895382318
62,50296,WB W 41 AVE AT BLENHEIM ST,Vancouver/UBC,Vancouver,0,0,0,22,14,15,-123.179103,49.234831,002; 041; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13712236.747035922,6314802.570878792
63,50297,WB W 41 AVE AT COLLINGWOOD ST,Vancouver/UBC,Vancouver,7,0,9,55,41,32,-123.182546,49.234836,002; 041; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13712620.067312093,6314803.436969267
64,50374,EB W 41 AVE AT COLLINGWOOD ST,Vancouver/UBC,Vancouver,37,22,17,0,0,5,-123.181639,49.234687,002; 041; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13712519.040851966,6314778.024605941
65,50375,EB W 41 AVE AT BLENHEIM ST,Vancouver/UBC,Vancouver,57,30,14,0,0,6,-123.178303,49.234696,002; 041; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13712147.65160916,6314779.516509146
66,50377,EB W 41 AVE AT CARNARVON ST,Vancouver/UBC,Vancouver,133,84,37,18,7,12,-123.172505,49.234677,002; 041; 043; 480; N22,Fall 2018,,002,-13711502.233484738,6314776.264972169
67,50640,DUNBAR LOOP,Vancouver/UBC,Vancouver,255,170,128,191,145,98,-123.18575,49.234593,002; 007; 032; 041; 049; N22,Fall 2018,,002,-13712976.68428983,6314761.948797282
68,51259,NB MACKENZIE ST AT W 38 AVE,Vancouver/UBC,Vancouver,68,48,33,11,0,7,-123.170182,49.237919,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711243.61731551,6315329.089390913
69,51260,NB MACKENZIE ST AT W 36 AVE,Vancouver/UBC,Vancouver,50,33,21,20,8,14,-123.170167,49.239815,002; N22,Fall 2018,,002,-13711242.043992136,6315652.34087765
70,51261,NB MACKENZIE ST AT W 34 AVE,Vancouver/UBC,Vancouver,60,27,24,29,8,9,-123.170144,49.241595,002; N22,Fall 2018,,002,-13711239.390817942,6315955.824665491
71,51262,NB MACKENZIE ST AT W 32 AVE,Vancouver/UBC,Vancouver,95,75,45,37,13,17,-123.170137,49.243116,002; N22,Fall 2018,,002,-13711238.669587452,6316215.204121744
72,51263,NB MACKENZIE ST AT W 30 AVE,Vancouver/UBC,Vancouver,43,37,23,15,13,10,-123.17011,49.245547,002; N22,Fall 2018,,002,-13711235.598380044,6316629.767288317
73,51264,NB MACKENZIE ST AT W 28 AVE,Vancouver/UBC,Vancouver,16,22,7,7,6,0,-123.170103,49.247424,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711234.893632954,6316949.774491999
74,51265,NB QUESNEL DR AT W KING EDWARD AVE,Vancouver/UBC,Vancouver,48,36,31,21,7,7,-123.1717,49.249571,002; N22,Fall 2018,,002,-13711412.59584558,6317315.834347636
75,51266,NB MACDONALD ST AT W KING EDWARD AVE,Vancouver/UBC,Vancouver,126,95,68,24,14,13,-123.167771,49.248517,002; N22,Fall 2018,,002,-13710975.304853499,6317136.23758476
