,stop_id,name,region,manicipality,avg_daily_boarding_mf,avg_daily_boarding_sat,avg_daily_boarding_sun,longitude,latitude
19947,54787.0,SB HWY 99 AT PASCO RD,North Shore,West Vancouver,0,0,0,-123.25885,49.38599
19948,60885.0,WB MARINE DR AT NELSON AVE,North Shore,West Vancouver,0,0,0,-123.27936299999999,49.370244
19949,60886.0,WB HWY 1 OVERPASS AT MARINE DR,North Shore,West Vancouver,0,0,0,-123.27586200000002,49.369813
19950,60887.0,CAULFEILD VILLAGE AT SAFEWAY,North Shore,West Vancouver,39,20,9,-123.252168,49.350854999999996
19951,61316.0,NB HWY 99 ONRAMP AT SEASCAPE DR,North Shore,West Vancouver,0,0,0,-123.24755800000001,49.398198
19952,61318.0,SB HWY 99 AT OCEAN POINT DR,North Shore,West Vancouver,0,0,0,-123.23386,49.43045
19953,61319.0,SB HWY 99 AT STRACHAN POINT RD,North Shore,West Vancouver,0,0,0,-123.232905,49.420432
19954,61445.0,NB HWY 99 AT BRUNSWICK BEACH RD,North Shore,Lions Bay,0,0,0,-123.24208700000001,49.474111
19955,61527.0,NB HWY 99 AT PASCO RD,North Shore,West Vancouver,0,0,0,-123.25838,49.38635
19956,61528.0,NB HWY 99 OFFRAMP AT KELVIN GROVE WAY,North Shore,West Vancouver,0,0,0,-123.236624,49.452388
19957,61530.0,NB CROSSCREEK RD AT LIONS BAY,North Shore,Lions Bay,5,0,0,-123.23561699999999,49.459216999999995
19958,61531.0,SB ISLEVIEW PLACE AT LIONS BAY PARK &,North Shore,West Vancouver,10,11,0,-123.236819,49.458538
19959,58010.0,FLAGSTOP WB AT BOWEN BAY,North Shore,Bowen Island,0,0,0,-123.418655,49.361102
19960,58011.0,FLAGSTOP TUNSTALL & WHITESAILS,North Shore,Bowen Island,7,0,0,-123.40541100000002,49.355965999999995
19961,58012.0,FLAGSTOP WB ADAMS RD AT COWAN,North Shore,Bowen Island,0,0,0,-123.382981,49.363354
19962,58013.0,BOWEN ISLAND TRUNK RD AT SNUG COVE,North Shore,Bowen Island,36,25,12,-123.33358500000001,49.37985
19963,58015.0,FLAGSTOP EB ADAMS RD AT COWAN,North Shore,Bowen Island,5,0,0,-123.38298,49.363248999999996
19964,58016.0,FLAGSTOP EB AT BOWEN BAY,North Shore,Bowen Island,0,0,0,-123.418062,49.360951
19965,58766.0,FLAGSTOP EB GRAFTON RD AT ARTISAN SQU,North Shore,Bowen Island,0,0,0,-123.34884199999999,49.380461
19966,60215.0,EB ADAMS RD AT BOWEN BAY RD,North Shore,Bowen Island,0,0,0,-123.401618,49.358202
19967,60216.0,SB SPYGLASS RD AT WINDJAMMER RD,North Shore,Bowen Island,0,0,0,-123.41306599999999,49.377358
19968,60236.0,FLAGSTOP NB WINDJAMMER RD AT ARBUTUS ,North Shore,Bowen Island,0,0,0,-123.42278300000001,49.366352
19969,60237.0,FLAGSTOP AT ARTISAN SQUARE,North Shore,Bowen Island,0,0,0,-123.345848,49.380323
